,num4black,num4white,0,1,2,3,4,5,6
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4G4B5B6C7E3H3E8G5C8E2,1.0,1.0,,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6D8E3B6G4B4B5H3H4E2,1.0,3.0,111.0,944.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6D8E3B6G4B4B5H3H4E2G3,2.0,2.0,112.0,153.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6D8E3B6G4B4B5H3H4E2G3A5,1.0,2.0,113.0,315.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6D8E3B6G4B4B5H3H4E2G3A5C7,1.0,1.0,114.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6D8E3B6G4B4B5H3H4E2G3A5C7C8,1.0,1.0,,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6C8D8E8B8G5G8C7,1.0,3.0,116.0,752.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6C8D8E8B8G5G8C7D2,1.0,2.0,117.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6C8D8E8B8G5G8C7D2B4,1.0,2.0,118.0,244.0,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6C8D8E8B8G5G8C7D2B4A5,1.0,1.0,119.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6C8D8E8B8G5G8C7D2B4A5E2,1.0,1.0,120.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6C8D8E8B8G5G8C7D2B4A5E2B3,1.0,1.0,121.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C5C6C8D8E8B8G5G8C7D2B4A5E2B3B5,1.0,1.0,,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4G4B5G3,1.0,7.0,123.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4G4B5G3E8,1.0,7.0,124.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4G4B5G3E8C8,1.0,7.0,125.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4G4B5G3E8C8G5,1.0,7.0,126.0,171.0,183.0,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4G4B5G3E8C8G5F2,2.0,2.0,127.0,,,,,,
F5D6C3D3C4F4F6F3E6E7D7G6F8F7H6C6D2D8C5B4G4B5G3E8C8G5F2E3,2.0,2.0,128.0,543.0,,,,,
