,num4black,num4white,0,1,2,3,4,5,6,7
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2A4G3F7E8H5C6,4.0,1.0,135.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2A4G3F7E8H5C6F1,4.0,1.0,136.0,1720.0,2776.0,4387.0,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2A4G3F7E8H5C6F1C1,1.0,1.0,,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2E2,7.0,2.0,138.0,470.0,2645.0,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2E2C1,1.0,11.0,139.0,174.0,3124.0,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2E2C1A4,4.0,1.0,140.0,2053.0,3681.0,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2E2C1A4E8,1.0,6.0,141.0,1626.0,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2E2C1A4E8F8,1.0,5.0,142.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2E2C1A4E8F8G8,1.0,5.0,143.0,2341.0,2652.0,3648.0,4793.0,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2E2C1A4E8F8G8F1,1.0,1.0,144.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5B3C5C2E2C1A4E8F8G8F1C7,1.0,1.0,,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5C2C5C6H6,13.0,1.0,146.0,514.0,699.0,1860.0,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5C2C5C6H6D1,1.0,12.0,147.0,678.0,994.0,2061.0,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5C2C5C6H6D1D8,1.0,5.0,148.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5C2C5C6H6D1D8F7,1.0,5.0,149.0,2230.0,2411.0,2485.0,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5C2C5C6H6D1D8F7G3,1.0,1.0,150.0,,,,,,,
F5D6C3D3C4F4F6B4F3E6E3F2D2G5G6G4E7D7B5C2C5C6H6D1D8F7G3C8,1.0,1.0,151.0,,,,,,,
